Date,Station,Metric,Max Value
19/1/2010,Changi,Max Humidity,100
17/2/2010,Changi,Max Humidity,100
10/3/2010,Changi,Max Humidity,100
11/4/2010,Changi,Max Humidity,100
10/5/2010,Changi,Max Humidity,100
13/6/2010,Changi,Max Humidity,100
10/7/2010,Changi,Max Humidity,100
10/8/2010,Changi,Max Humidity,100
11/9/2010,Changi,Max Humidity,100
1/10/2010,Changi,Max Humidity,100
1/11/2010,Changi,Max Humidity,100
1/12/2010,Changi,Max Humidity,100
21/1/2020,Changi,Max Humidity,100
11/2/2020,Changi,Max Humidity,100
23/3/2020,Changi,Max Humidity,100
13/4/2020,Changi,Max Humidity,94.27
11/5/2020,Changi,Max Humidity,100
19/6/2020,Changi,Max Humidity,100
22/7/2020,Changi,Max Humidity,100
13/8/2020,Changi,Max Humidity,100
13/9/2020,Changi,Max Humidity,100
1/10/2020,Changi,Max Humidity,94.23
2/11/2020,Changi,Max Humidity,100
3/12/2020,Changi,Max Humidity,100
10/1/2010,Changi,Max Temperature,32
24/2/2010,Changi,Max Temperature,35
11/3/2010,Changi,Max Temperature,34
11/4/2010,Changi,Max Temperature,34
16/5/2010,Changi,Max Temperature,35
11/6/2010,Changi,Max Temperature,33
11/7/2010,Changi,Max Temperature,33
22/8/2010,Changi,Max Temperature,33
14/9/2010,Changi,Max Temperature,33
5/10/2010,Changi,Max Temperature,33
3/11/2010,Changi,Max Temperature,33
5/12/2010,Changi,Max Temperature,33
17/1/2020,Changi,Max Temperature,33
17/2/2020,Changi,Max Temperature,33
11/3/2020,Changi,Max Temperature,34
15/4/2020,Changi,Max Temperature,34
21/5/2020,Changi,Max Temperature,34
11/6/2020,Changi,Max Temperature,33
16/7/2020,Changi,Max Temperature,32
10/8/2020,Changi,Max Temperature,33
17/9/2020,Changi,Max Temperature,33
5/10/2020,Changi,Max Temperature,32
1/11/2020,Changi,Max Temperature,33
1/12/2020,Changi,Max Temperature,33
